ptr_id,year,member,class,source_url
2016-00818,2016,Notice of Staff Attendance at Southwest Power Pool Regional  (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00818/notice-of-staff-attendance-at-southwest-power-pool-regional-entity-trustee-regional-state-committee
2016-00881,2016,Sunshine Act Meeting (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00881/sunshine-act-meeting
2016-00873,2016,"Formations of, Acquisitions by, and Mergers of Bank Holding  (Notice)",,https://www.federalregister.gov/documents/2016/01/19/2016-00873/formations-of-acquisitions-by-and-mergers-of-bank-holding-companies
2016-00841,2016,Agency Information Collection Activities; Proposed Collectio (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00841/agency-information-collection-activities-proposed-collection-comment-request
2016-00867,2016,Agency Forms Undergoing Paperwork Reduction Act Review (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00867/agency-forms-undergoing-paperwork-reduction-act-review
2016-00844,2016,Agency Information Collection Activities: Submission for OMB (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00844/agency-information-collection-activities-submission-for-omb-review-comment-request
2016-00825,2016,Request for Nominations on the Technical Electronic Product  (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00825/request-for-nominations-on-the-technical-electronic-product-radiation-safety-standards-committee
2016-00836,2016,Request for Information on Psychosocial Predictors of Uptake (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00836/request-for-information-on-psychosocial-predictors-of-uptake-of-tobacco-and-other-products
2016-00823,2016,Arthritis Advisory Committee; Notice of Meeting (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00823/arthritis-advisory-committee-notice-of-meeting
2016-00794,2016,Center for Scientific Review; Notice of Closed Meetings (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00794/center-for-scientific-review-notice-of-closed-meetings
2016-00805,2016,Agency Information Collection Activities; Proposed eCollecti (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00805/agency-information-collection-activities-proposed-ecollection-ecomments-requested-national-tracing
2016-00986,2016,Sunshine Act Meeting (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00986/sunshine-act-meeting
2016-00913,2016,Senior Executive Service Performance Review Board Membership (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00913/senior-executive-service-performance-review-board-membership
2016-00876,2016,New Postal Product (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00876/new-postal-product
2016-00776,2016,Proposed Collection; Comment Request for Form 8824 (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00776/proposed-collection-comment-request-for-form-8824
2016-00777,2016,Announcement of Requirements and Registration for “Pill Imag (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00777/announcement-of-requirements-and-registration-for-pill-image-recognition-challenge
2016-00801,2016,National Institute of Nursing Research; Notice of Closed Mee (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00801/national-institute-of-nursing-research-notice-of-closed-meetings
2016-00798,2016,National Institute of Diabetes and Digestive and Kidney Dise (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00798/national-institute-of-diabetes-and-digestive-and-kidney-diseases-notice-of-closed-meetings
2016-00802,2016,National Institute on Aging; Notice of Closed Meeting (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00802/national-institute-on-aging-notice-of-closed-meeting
2016-00792,2016,National Institute of Environmental Health Sciences; Notice  (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00792/national-institute-of-environmental-health-sciences-notice-of-closed-meeting
2016-00793,2016,National Institute of Allergy and Infectious Diseases; Notic (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00793/national-institute-of-allergy-and-infectious-diseases-notice-of-closed-meetings
2016-00791,2016,National Institute of Environmental Health Sciences; Notice  (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00791/national-institute-of-environmental-health-sciences-notice-of-meeting
2016-00870,2016,Proposed Flood Hazard Determinations (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00870/proposed-flood-hazard-determinations
2016-00769,2016,Changes in Flood Hazard Determinations (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00769/changes-in-flood-hazard-determinations
2016-00869,2016,Changes in Flood Hazard Determinations (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00869/changes-in-flood-hazard-determinations
2016-00807,2016,Endangered Species; Receipt of Applications for Permit (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00807/endangered-species-receipt-of-applications-for-permit
2016-00851,2016,Filing of Plats of Survey: California (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00851/filing-of-plats-of-survey-california
2016-00804,2016,Assessment of Eligible and Ineligible Lands for Consideratio (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00804/assessment-of-eligible-and-ineligible-lands-for-consideration-as-wilderness-areas-congaree-national
2016-00916,2016,Notice of Inventory Completion: Carnegie Museum of Natural H (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00916/notice-of-inventory-completion-carnegie-museum-of-natural-history-pittsburgh-pennsylvania-correction
2016-00789,2016,"Importer of Controlled Substances Registration: Lipomed, Inc (Notice)",,https://www.federalregister.gov/documents/2016/01/19/2016-00789/importer-of-controlled-substances-registration-lipomed-inc
2016-00783,2016,Importer of Controlled Substances Application: Siegfried USA (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00783/importer-of-controlled-substances-application-siegfried-usa-llc
2016-00781,2016,Manufacturer of Controlled Substances Registration: Rhodes T (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00781/manufacturer-of-controlled-substances-registration-rhodes-technologies
2016-00686,2016,Biweekly Notice; Applications and Amendments to Facility Ope (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00686/biweekly-notice-applications-and-amendments-to-facility-operating-licenses-and-combined-licenses
2016-00785,2016,Self-Regulatory Organizations; NASDAQ OMX PHLX LLC; Notice o (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00785/self-regulatory-organizations-nasdaq-omx-phlx-llc-notice-of-filing-and-immediate-effectiveness-of
2016-00784,2016,Self-Regulatory Organizations; Chicago Board Options Exchang (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00784/self-regulatory-organizations-chicago-board-options-exchange-incorporated-notice-of-filing-and
2016-00855,2016,Agency Information Collection Activities: Proposed Request a (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00855/agency-information-collection-activities-proposed-request-and-comment-request
2016-00754,2016,Petition for Exemption; Summary of Petition Received; The Bo (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00754/petition-for-exemption-summary-of-petition-received-the-boeing-company
